sample_ID,sample_num,Mean_R1,Mean_R2,Mean_R3,quant_reading,Sample_or_Control
A1_B,A1,9.265,19.85,15.1,14.74,True Sample
A1_S,A1,5.08,4.985,5.865,5.31,True Sample
A10_B,A10,12.3,13.95,16.35,14.2,True Sample
A10_S,A10,11.25,13.65,12.6,12.5,True Sample
A11_B,A11,21.9,13.8,17,17.57,True Sample
A11_S,A11,5.09,5.29,7.615,6,True Sample
A12_B,A12,12.2,15.2,14.9,14.1,True Sample
A12_S,A12,13.3,13.6,15.35,14.08,True Sample
A13_B,A13,9.14,14.7,17.5,13.78,True Sample
A13_S,A13,11.05,14.05,14.9,13.33,True Sample
A14_B,A14,12.1,14.55,15.05,13.9,True Sample
A14_S,A14,13,13.5,12.8,13.1,True Sample
A15_B,A15,11.4,15.95,14.9,14.08,True Sample
A15_S,A15,10.305,11.9,13.95,12.05,True Sample
A16_B,A16,17.1,15.85,16.4,16.45,True Sample
A16_S,A16,10.275,11.05,16.85,12.73,True Sample
A17_B,A17,10,13.5,13.65,12.38,True Sample
A17_S,A17,9.405,10.35,13.8,11.19,True Sample
A18_B,A18,12.45,12.3,14.3,13.02,True Sample
A18_S,A18,11.8,10.325,12.7,11.61,True Sample
A19_B,A19,13.35,12.8,16.5,14.22,True Sample
A19_S,A19,11.6,13.8,14.25,13.22,True Sample
A2_B,A2,12.45,17.5,12.15,14.03,True Sample
A2_S,A2,10.65,11.95,11.55,11.38,True Sample
A20_B,A20,11.45,13.8,13.5,12.92,True Sample
A20_S,A20,10.95,13.4,14.75,13.03,True Sample
A21_B,A21,12.35,14.95,14.45,13.92,True Sample
A21_S,A21,10.3,12.45,13.75,12.17,True Sample
A22_B,A22,12.25,14.35,15.95,14.18,True Sample
A22_S,A22,13,14.6,13.9,13.83,True Sample
A23_B,A23,14.2,11.8,12.4,12.8,True Sample
A23_S,A23,12.5,14.6,14.55,13.88,True Sample
A24_B,A24,9.87,13.5,14.4,12.59,True Sample
A24_S,A24,9.075,11.65,16.7,12.48,True Sample
A25_B,A25,4.775,14.35,16.2,11.78,True Sample
A25_S,A25,8.3,13.4,13.85,11.85,True Sample
A26_B,A26,11.15,16.25,16.55,14.65,True Sample
A26_S,A26,12.05,12.95,14.15,13.05,True Sample
A27_B,A27,16.05,15.55,8.48,13.36,True Sample
A27_S,A27,8.71,10.55,14.85,11.37,True Sample
A28_B,A28,9.765,13.7,15.2,12.89,True Sample
A28_S,A28,20.8,11.65,12.35,14.93,True Sample
A29_B,A29,12.75,13.35,15.2,13.77,True Sample
A29_S,A29,12.3,11.5,13.9,12.57,True Sample
A3_B,A3,13.3,15.8,15.6,14.9,True Sample
A3_S,A3,10.4,14.05,12.3,12.25,True Sample
A30_B,A30,10.6,13.25,14.8,12.88,True Sample
A30_S,A30,10.3,12.65,12.8,11.92,True Sample
A31_B,A31,14.1,12.85,15.95,14.3,True Sample
A31_S,A31,4.465,10.75,10.85,8.69,True Sample
A32_B,A32,13,11.55,14.05,12.87,True Sample
A32_S,A32,11.75,9.77,11.25,10.92,True Sample
A33_B,A33,10.85,13.4,14.6,12.95,True Sample
A33_S,A33,12.1,13,13.3,12.8,True Sample
A34_B,A34,8.22,17.05,18.3,14.52,True Sample
A34_S,A34,13.55,11.6,14.7,13.28,True Sample
A35_B,A35,17.75,12.1,19.15,16.33,True Sample
A35_S,A35,8.855,12.35,10.95,10.72,True Sample
A36_B,A36,5.42,11.4,16.45,11.09,True Sample
A36_S,A36,13.75,15,16.25,15,True Sample
A37_B,A37,13.75,10.9,13.4,12.68,True Sample
A37_S,A37,17.05,13.45,14.25,14.92,True Sample
A38_B,A38,13.05,12,21.6,15.55,True Sample
A38_S,A38,11.95,12.25,10.2,11.47,True Sample
A39_B,A39,9.515,14.15,16.2,13.29,True Sample
A39_S,A39,11.45,10.3,13.2,11.65,True Sample
A4_B,A4,8.195,11.55,14.5,11.42,True Sample
A4_S,A4,11.1,12.55,15.5,13.05,True Sample
A40_B,A40,12.2,17.45,18.6,16.08,True Sample
A40_S,A40,9.895,13.1,12.85,11.95,True Sample
A41_B,A41,12.8,11.55,17.35,13.9,True Sample
A41_S,A41,11.4,11.1,10.35,10.95,True Sample
A42_B,A42,10.8,20.75,14.2,15.25,True Sample
A42_S,A42,12.7,12.75,13.05,12.83,True Sample
A43_B,A43,6.2,12.95,18.1,12.42,True Sample
A43_S,A43,11.05,11.65,11.4,11.37,True Sample
A44_B,A44,11.35,13.45,14.65,13.15,True Sample
A44_S,A44,8.55,12.2,12.3,11.02,True Sample
A45_B,A45,11.85,10.15,17.05,13.02,True Sample
A45_S,A45,7.555,15.75,12.1,11.8,True Sample
A46_B,A46,13.1,12.1,15.55,13.58,True Sample
A46_S,A46,10.7,12.45,11.7,11.62,True Sample
A47_B,A47,13.2,11.95,12.65,12.6,True Sample
A47_S,A47,11.95,13.05,13.3,12.77,True Sample
A48_B,A48,11.15,14.2,14.9,13.42,True Sample
A48_S,A48,11.85,14.5,11.2,12.52,True Sample
A49_B,A49,11.95,12.65,13.75,12.78,True Sample
A49_S,A49,13.75,10.4,12,12.05,True Sample
A5_B,A5,11.35,13.8,16.2,13.78,True Sample
A5_S,A5,11.25,11.05,12.8,11.7,True Sample
A50_B,A50,13.7,13.7,16.1,14.5,True Sample
A50_S,A50,11.75,14,14.3,13.35,True Sample
A51_B,A51,12.75,14.7,14.65,14.03,True Sample
A6_B,A6,5.66,12.95,15.9,11.5,True Sample
A6_S,A6,11.5,12.7,11.55,11.92,True Sample
A7_B,A7,12.05,11.3,13.1,12.15,True Sample
A7_S,A7,14.85,14.7,13,14.18,True Sample
A8_B,A8,10.7,15.95,17.75,14.8,True Sample
A8_S,A8,13.2,13,12.5,12.9,True Sample
A9_B,A9,13.4,14.25,15.2,14.28,True Sample
A9_S,A9,4.04,17.25,13.8,11.7,True Sample
BL-1_B,BL-1,0.0515,#DIV/0!,#DIV/0!,0.05,Control Sample
BL-1_S,BL-1,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
BL-2_B,BL-2,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
BL-2_S,BL-2,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
BL-3_B,BL-3,0.053,0.0765,0.394,0.17,Control Sample
BL-3_S,BL-3,#DIV/0!,#DIV/0!,#DIV/0!,0.05,Control Sample
H1_B,H1,12.75,13.9,17.85,14.83,True Sample
H1_S,H1,10.215,14.1,9.275,11.2,True Sample
H10_B,H10,14.7,14.35,14.05,14.37,True Sample
H10_S,H10,9.01,12,12.5,11.17,True Sample
H11_B,H11,6.055,12.75,15,11.27,True Sample
H11_S,H11,12.1,11.2,12.6,11.97,True Sample
H12_B,H12,0.0725,0.056,0.073,0.07,True Sample
H12_S,H12,14.85,13.9,16,14.92,True Sample
H13_B,H13,13,14,14.45,13.82,True Sample
H13_S,H13,8.2,11.2,13.85,11.08,True Sample
H14_B,H14,12.55,14.35,13.45,13.45,True Sample
H14_S,H14,13,8.685,13.45,11.71,True Sample
H15_B,H15,13.6,14,18.55,15.38,True Sample
H15_S,H15,10.05,13.1,14,12.38,True Sample
H16_B,H16,14.2,11.5,20.1,15.27,True Sample
H16_S,H16,9.97,13.85,16.15,13.32,True Sample
H17_B,H17,12.55,13.65,11.7,12.63,True Sample
H17_S,H17,6.885,13.7,12.5,11.03,True Sample
H18_B,H18,12.5,12.8,18.85,14.72,True Sample
H18_S,H18,12.6,10.635,12.8,12.01,True Sample
H19_B,H19,15.35,15.55,14.15,15.02,True Sample
H19_S,H19,10.9,8.525,16.1,11.84,True Sample
H20_B,H20,NA,14.1,15.45,14.78,True Sample
H20_S,H20,13.2,11.2,11.6,12,True Sample
H21_B,H21,5.025,11.75,15.25,10.68,True Sample
H21_S,H21,14,13.75,17.2,14.98,True Sample
H22_B,H22,1.545,16.6,16.4,11.52,True Sample
H22_S,H22,9.515,10.25,12.65,10.81,True Sample
H23_B,H23,18.2,14.85,13.2,15.42,True Sample
H23_S,H23,12.55,12.45,16.05,13.68,True Sample
H24_B,H24,11.55,14,11.5,12.35,True Sample
H24_S,H24,8.785,13.25,12.35,11.46,True Sample
H25_B,H25,11.25,16.1,15.8,14.38,True Sample
H25_S,H25,10.35,18.3,16.15,14.93,True Sample
H26_B,H26,9.955,13.25,13.55,12.25,True Sample
H26_S,H26,9.4,14.1,10.05,11.18,True Sample
H27_B,H27,13.05,13.3,13.85,13.4,True Sample
H27_S,H27,11.9,8.88,13,11.26,True Sample
H28_B,H28,13.4,15.45,10.02,12.96,True Sample
H28_S,H28,10.9,13.6,13.15,12.55,True Sample
H29_B,H29,12.7,15,16.2,14.63,True Sample
H29_S,H29,13.1,11.5,11.5,12.03,True Sample
H3_B,H3,9.985,14.25,14.4,12.88,True Sample
H3_S,H3,13.8,13.35,15.5,14.22,True Sample
H30_B,H30,9.88,15.5,15.2,13.53,True Sample
H30_S,H30,8.025,5.125,13.35,8.83,True Sample
H31_B,H31,11.8,15.4,13.4,13.53,True Sample
H31_S,H31,12.8,11.8,17.35,13.98,True Sample
H32_B,H32,12.65,13.65,14.5,13.6,True Sample
H32_S,H32,8.96,10.7,12.95,10.87,True Sample
H33_B,H33,9.56,10.7,13.55,11.27,True Sample
H33_S,H33,13.1,10.55,10.33,11.33,True Sample
H34_B,H34,13.5,10.7,12.05,12.08,True Sample
H34_S,H34,8.99,20.05,13.05,14.03,True Sample
H35_B,H35,7.245,15.3,15.3,12.62,True Sample
H35_S,H35,9,15.1,15,13.03,True Sample
H36_B,H36,12.7,13.95,14.75,13.8,True Sample
H36_S,H36,11.9,12.45,12.6,12.32,True Sample
H37_B,H37,12.95,15.35,11.85,13.38,True Sample
H37_S,H37,12.35,11.4,12.8,12.18,True Sample
H38_B,H38,12.3,15.3,12,13.2,True Sample
H38_S,H38,12.9,14.2,14.45,13.85,True Sample
H39_B,H39,11.8,15.5,14.85,14.05,True Sample
H39_S,H39,10.4,11.5,13.4,11.77,True Sample
H4_B,H4,13.15,12.8,18.7,14.88,True Sample
H4_S,H4,29.4,15.45,11.65,18.83,True Sample
H40_B,H40,14,14.9,16.75,15.22,True Sample
H40_S,H40,6.97,10.95,12.8,10.24,True Sample
H41_B,H41,10.85,11.15,11.7,11.23,True Sample
H41_S,H41,9.46,16.3,11.85,12.54,True Sample
H42_B,H42,6.44,10.15,15.5,10.7,True Sample
H42_S,H42,12.3,12.3,10.6,11.73,True Sample
H43_B,H43,10.05,16,15.7,13.92,True Sample
H43_S,H43,9.4,15.05,13.3,12.58,True Sample
H44_B,H44,5.58,13.1,15.15,11.28,True Sample
H44_S,H44,11.15,13.55,11.5,12.07,True Sample
H45_B,H45,14.35,12.3,13.8,13.48,True Sample
H45_S,H45,7.71,10.55,13.5,10.59,True Sample
H46_B,H46,11.8,13.6,14.7,13.37,True Sample
H46_S,H46,13.5,12.9,13.5,13.3,True Sample
H47_B,H47,12.4,13.85,13,13.08,True Sample
H47_S,H47,11.1,14.05,14.45,13.2,True Sample
H48_B,H48,8.705,9.925,13.05,10.56,True Sample
H48_S,H48,7.4,14.95,9.365,10.57,True Sample
H49_B,H49,13.35,12.5,14.1,13.32,True Sample
H49_S,H49,10.55,11.4,12.2,11.38,True Sample
H5_B,H5,19.5,15.75,17.1,17.45,True Sample
H5_S,H5,8.8,14.1,13.2,12.03,True Sample
H50_B,H50,12.75,12.05,14.9,13.23,True Sample
H50_S,H50,11.3,11.45,14.7,12.48,True Sample
H51_B,H51,16.35,13.25,14.65,14.75,True Sample
H51_S,H51,10.85,12.05,12.25,11.72,True Sample
H6_B,H6,13.6,13.45,14.65,13.9,True Sample
H6_S,H6,12.45,12.8,10.45,11.9,True Sample
H7_B,H7,11.8,13.9,13.55,13.08,True Sample
