"Sample_ID","exploratory","dominant_tree","relative_humidity","temperature","average_DBH","canopy_openness","gini_coefficient","stand_density","ratio_of_dominant_trees","forest_area","library_size_algae","library_size_fungi","library_size_bacteria"
"Sample_A1_B","Swabian Alb","Picea abies",74.54,7.61,27.34,9.89,0.16,44.35,0.93,0.5,4150,28504,13002
"Sample_A10_B","Swabian Alb","Picea abies",78.85,6.81,23.8,14.5,0.19,45.19,0.93,0.67,13330,14282,9981
"Sample_A11_B","Swabian Alb","Picea abies",76.11,7.39,37.68,10.43,0.13,51.93,0.98,0.58,20971,22004,9586
"Sample_A12_B","Swabian Alb","Picea abies",79.29,6.94,39.6,17.32,0.15,42.37,0.98,0.49,17644,17308,8406
"Sample_A13_B","Swabian Alb","Picea abies",78.31,7.27,39.71,11.63,0.18,52.82,0.87,0.65,24099,18434,16003
"Sample_A14_B","Swabian Alb","Picea abies",80.56,6.74,39.38,17.86,0.25,41.37,0.8,0.59,23214,14911,12725
"Sample_A15_B","Swabian Alb","Fagus sylvatica",76.22,8.23,10.6,2.91,0.15,16.23,0.59,0.47,10395,18714,13395
"Sample_A16_B","Swabian Alb","Fagus sylvatica",70.01,8.23,12.09,2.68,0.23,19.5,0.98,0.56,22105,16159,15828
"Sample_A17_B","Swabian Alb","Fagus sylvatica",71.49,7.59,15.16,2.7,0.21,34.73,0.98,0.74,19298,17603,16804
"Sample_A18_B","Swabian Alb","Fagus sylvatica",74.12,7.68,37.74,15.02,0.29,23.36,0.71,0.52,20852,12480,6634
"Sample_A2_B","Swabian Alb","Picea abies",77.92,6.89,34.06,15.1,0.19,42.52,0.97,0.6,11402,9770,7502
"Sample_A20_B","Swabian Alb","Fagus sylvatica",74.06,7.99,41.14,5.41,0.2,28.57,0.8,0.44,29113,23632,11645
"Sample_A21_B","Swabian Alb","Fagus sylvatica",71.47,8.23,27.14,3.78,0.4,26.36,0.47,0.55,6927,10539,7215
"Sample_A22_B","Swabian Alb","Fagus sylvatica",72.06,7.95,37.16,9.28,0.2,26.83,0.89,0.57,34726,14839,12025
"Sample_A23_B","Swabian Alb","Fagus sylvatica",70.41,7.97,24.8,10.35,0.44,22.6,0.65,0.47,22317,17020,13864
"Sample_A24_B","Swabian Alb","Fagus sylvatica",70.06,8.42,12.61,2.67,0.21,28.61,0.43,0.57,22464,17359,12387
"Sample_A25_B","Swabian Alb","Fagus sylvatica",70,8.54,9.79,2.42,0.14,17.99,0.77,0.62,18975,16277,13428
"Sample_A26_B","Swabian Alb","Fagus sylvatica",73.51,7.89,13.19,13.39,0.24,13.69,0.75,0.29,12828,15902,8736
"Sample_A27_B","Swabian Alb","Fagus sylvatica",70.87,7.9,11.83,2.63,0.19,23.35,0.6,0.43,19922,12007,11204
"Sample_A28_B","Swabian Alb","Fagus sylvatica",70.8,8.29,23.81,5.81,0.28,29.59,0.79,0.54,44252,15338,14783
"Sample_A29_B","Swabian Alb","Picea abies",73.52,7.7,32.4,10.68,0.19,35.28,0.58,0.62,25324,24630,16098
"Sample_A3_B","Swabian Alb","Picea abies",79.44,7.2,31.6,15.95,0.17,43.26,0.94,0.55,15349,20423,12337
"Sample_A30_B","Swabian Alb","Fagus sylvatica",75.34,7.51,22.35,9.77,0.24,27.53,0.87,0.65,25560,24017,13400
"Sample_A31_B","Swabian Alb","Picea abies",76.96,7.33,26.44,20.53,0.14,43.58,1,0.55,26679,25104,13955
"Sample_A32_B","Swabian Alb","Picea abies",75.84,7.44,24.02,15.36,0.18,30.75,0.91,0.54,13356,14971,11847
"Sample_A33_B","Swabian Alb","Picea abies",73.98,7.38,25.05,19.91,0.17,37.63,0.9,0.47,22572,20226,13862
